"","conc","avg","rec","cust","tar","ext","npp","etp","dEtp2","dEtp3"
"1","AUTOFERNAODIAS",3.37399997711182,502.796334852395,858.192097469788,1.94601131330743,562.099975585938,8,2,1,0
"2","AUTOFLUMINENSE",3.8,606.137121288597,1354.90876239664,4.19865079490741,320.100006103516,5,2,1,0
"3","AUTOLITORALSUL",3.75599999427795,652.230614026828,1385.06429534346,2.13227621485023,382.299987792969,5,2,1,0
"4","AUTOPLANALTOSUL",3.56199998855591,306.58165718583,690.202454179456,5.06428438741914,412.700012207031,5,2,1,0
"5","AUTOREGIS",4.22399997711182,806.16053953661,1473.36559814485,2.55737617675198,401.600006103516,6,2,1,0
"6","CCRPONTE",4,14207.2580212708,6771.04377170305,6.26490477317125,13.1999998092651,1,1,0,0
"7","CONCEBRA",3.57500004768371,236.074095888406,504.654251748725,3.53735161257234,1176.5,11,3,0,1
"8","CONCEPA",3.08600001335144,2503.079080024,2370.38829988744,12.5893752108076,121,3,1,0,0
"9","CONCER",3.8,1640.67938704871,2111.34564775245,11.2254879627576,179.899993896484,3,1,0,0
"10","CRO",4.13999998569489,308.484310573877,826.876908305302,4.30967525922465,850.900024414062,9,3,0,1
"11","CRT",4,1494.00763882876,781.87092573665,15.336126970265,142.5,1,1,0,0
"12","ECO101",3.55499994754792,401.690246340485,452.423560251487,5.88905688505452,475.899993896484,7,3,0,1
"13","ECOPONTE",4.5,6881.6603298803,4853.0393465809,3.93735158873048,13.1999998092651,1,3,0,1
"14","ECOSUL",4.03399996757507,360.694491059438,132.267043674051,9.74295779174818,623.799987792969,5,1,0,0
"15","MGORODOVIAS",4,349.580291800338,719.416113580168,3.90699883435139,436.600006103516,6,3,0,1
"16","MSVIA",3.5,230.493331440825,737.722628273947,6.47652690648847,847.200012207031,9,3,0,1
"17","NOVADUTRA",4.25,3313.5716548278,2439.99370663416,13.4037268365152,402,3,1,0,0
"18","RODOVIADOACO",4.4,461.885082274695,648.581350124836,5.7231146749257,200.399993896484,3,2,1,0
"19","TRANSBRASILIANA",4.2,340.792587933568,467.178804831632,4.54378980955374,321.600006103516,4,2,1,0
"20","VIA040",4.00500011444092,235.731063183571,549.682789653277,4.58643977190043,936.799987792969,11,3,0,1
"21","VIABAHIA",3.58800001144409,396.627050303893,708.65646537074,2.69873412116151,680.599975585938,7,2,1,0
