conc,tar,etp,npp,ext,dEtapa2,dEtapa3,custm,recm,avgm,tarm,dmu,eff_ols,eff_cols,eff_cmad,eff_hn,eff_hnx,eff_hnx2,eff_exp,eff_expx
CONCEPA,8.54,1,3,121,0,0,2370.3882,2503.0791,3.086,12.589375,8,.7845809758257679,.6852909773231424,.6844466487825412,1,1,1,1,1
CONCER,8,1,3,179.89999,0,0,2111.3457,1640.6794,3.8,11.225488,9,.9785547589827672,.854717062750234,.8554499769948335,.7950338559583013,.7923865753713556,.7923865753713556,.823014193504742,.8322448265917931
CRT,12.22,1,1,142.5,0,0,781.87091,1494.0077,4,15.336127,11,.9998863838637863,.8733491358096379,.8672909129700457,.8194341896975914,.829447871547396,.8294478839071324,.8124119085011257,.8362607492642307
NOVADUTRA,10.09,1,3,402,0,0,2439.9937,3313.5718,4.25,13.403727,17,1.069642517445105,.934277517237588,.9314503072880342,.7395849300725644,.7418202799703357,.7418202854973275,.7982043301347247,.8187925858200303
ECOSUL,8.4499998,1,5,623.79999,0,0,132.26704,360.69449,4.0339999,9.7429581,14,1.004739547546519,.8775881237353251,.8672909129700457,.8560327717698339,.8769853298420431,.876985342910143,.8068184369495927,.8264585719378205
CCRPONTE,4.8800001,1,1,13.2,0,0,6771.0439,14207.258,4,6.2649045,6,.9836439265592621,.8591621878930999,.8549524591652464,.7999262276050639,.8032039643154281,.8032039762840999,.8256520958278941,.8085364965111055
AUTOREGIS,1.8,2,6,401.60001,1,0,1473.3656,806.16052,4.224,2.5573761,5,1.105261532188694,.9653888877360003,.9682507336956852,.7003469103820913,.6960329888367079,.6960329953190203,.7925222859323153,.800378048162559
AUTOLITORALSUL,1.5,2,5,382.29999,1,0,1385.0643,652.23059,3.756,2.1322763,3,.9890099714502036,.8638491510759668,.8672909129700457,.7795223585253218,.7734743468939074,.7734743526567404,.8170964411107129,.802857800218899
TRANSBRASILIANA,3.3,2,4,321.60001,1,0,467.1788,340.7926,4.1999998,4.5437899,19,1.093915191398687,.9554784448262148,.9549145192333069,.7316470298825334,.7333473687990474,.733347376994843,.7926707127977669,.8015513913171934
RODOVIADOACO,4.5,2,3,200.39999,1,0,648.58136,461.8851,4.4000001,5.7231145,18,1.144887357032582,1,1,.6938518187301491,.6942815150263639,.6942815219062917,.7882676018710237,.8004202842157071
AUTOPLANALTOSUL,3.5999999,2,5,412.70001,1,0,690.20245,306.58167,3.562,5.0642843,4,.9439481100282182,.8244899415037862,.827397957176127,.8266494394323244,.8220812277991504,.8220812400491153,.8354250790961968,.8171749537044118
VIABAHIA,2.3,2,7,680.59998,1,0,708.65643,396.62704,3.5880001,2.698734,21,.9420454198465802,.8228280398590955,.8243671780699912,.8346354638517949,.8323284535297966,.8323284659324571,.836826457251126,.8137023993424203
AUTOFLUMINENSE,3.0999999,2,5,320.10001,1,0,1354.9088,606.13715,3.8,4.1986508,2,1.002755571464935,.8758552230535266,.8796492011196053,.7677935467677731,.7614204462762384,.7614204519492629,.8122500205829539,.8073632008838688
AUTOFERNAODIAS,1.4,2,8,562.09998,1,0,858.19208,502.79633,3.3740001,1.9460113,1,.8832651904450676,.7714865440862151,.7728591326569491,.888158789883091,.8854850004380842,.8854850004380842,.8821006173967467,.8250726413207077
ECOPONTE,3.5,3,1,13.2,0,1,4853.0396,6881.6602,4.5,3.9373517,13,1.126072401636997,.9835661078096348,.9811339574446595,.6938518216907662,.6942815167091115,.694281522837269,.7916578887672828,.7972965423890322
ECO101,5.4000001,3,7,475.89999,0,1,452.42355,401.69025,3.5549998,5.8890572,12,.9189306641756586,.8026384941112654,.8009836306867865,.8775816076947038,.8819032248913636,.8819032380327458,.8498035445857155,.8388033634538542
CRO,3.45,3,9,850.90002,0,1,826.87695,308.48431,4.1399999,4.3096752,10,1.103541937912997,.9638869109125743,.9687395570889816,.7002028877664954,.6942815167785064,.6942815233479924,.7920607485491095,.8058160999231225
MGORODOVIAS,3.4000001,3,6,436.60001,0,1,719.41614,349.58029,4,3.9069989,15,1.056007644145704,.9223681593294523,.9250640198008702,.7406438871029154,.7372467324412885,.7372467406806628,.7984020952294067,.804605141146301
CONCEBRA,3.5,3,11,1176.5,0,1,504.65424,236.0741,3.575,3.5373516,7,.9471968535487266,.8273275512481446,.8296034488688984,.830571674902243,.827622705682719,.8276227180152584,.832310178410253,.83014433520868
VIA040,4.8000002,3,11,936.79999,0,1,549.6828,235.73106,4.0050001,4.5864401,20,1.064242878413741,.9295612113074051,.9328102249263549,.7356919152645018,.7320170769674874,.7320170851484158,.7966589345945678,.8117958151894227
MSVIA,6.0999999,3,9,847.20001,0,1,737.72266,230.49332,3.5,6.4765272,16,.9401390699325639,.8211629416271111,.8262458666809183,.818681805545017,.810357506414678,.8103575184899459,.8376365556965394,.8386108456091437
